123-1CON	123-2CON	123-3NO0	123-4NO7	126-1CON	126-2CON	126-3NO0	126-4NO7	CONTROL7	CONTROLZ	NO_7_5	NO_ZERO
876.886	559.244	316.161	416.211	1524.53	1189.18	1407.83	1177.51	236.261	208.798	181.298	215.677
1028.69	602.838	291.186	458.065	2122.54	1488.75	1752.4	1618.52	254.748	246.523	112.339	240.769
610.578	402.291	233.81	296.422	1358.93	924.902	1056.13	935.227	197.792	197.564	107.768	195.304
1695.72	1085.95	663.797	837.036	2767.43	2046.59	2508.74	2121.9	442.82	423.36	320.014	450.477
1805.29	1110.36	690.363	912.933	2750.42	1980.03	2562.5	2127.55	508.499	461.895	305.902	508.121
1875.55	1340.33	954.629	1104.87	3085.81	2260.78	2933.43	2499.39	620.271	644.743	518.246	703.39
5294.77	3349.31	2307.34	2701.35	6750.82	5070.74	6517.74	5642.15	1798.12	1812.18	2064.59	2086.08
10805	8581.98	7151.83	6995.11	12051.5	10108.5	11763.3	11106.3	4939.54	5058.13	5096.22	5781.74
11250.5	9367.15	9149.14	8470.86	11349.4	9940.51	11821.1	12713.5	6915.8	6769.33	7340.54	7238.29
103.603	96.5368	75.6663	73.3562	143.662	83.9265	139.919	81.0643	74.6471	72.1184	66.8755	67.9913
76.7074	86.3828	79.0401	81.0884	55.9292	106.093	120.897	124.459	73.2623	63.7037	71.3423	66.3785
129.427	133.147	134.38	164.632	124.851	135.293	126.17	116.727	176.469	154.534	67.2254	117.769
18.2708	14.2228	6.63326	9.31653	20.4793	12.1874	11.4255	12.3765	5.2097	16.9249	24.4865	15.8792
61.5596	48.1804	50.5612	50.8676	69.8347	49.9399	54.3297	51.3995	70.97	57.9486	62.1683	53.8079
109.657	69.9776	79.7297	100.37	138.654	68.282	97.0169	106.363	88.2702	50.5746	61.7105	51.293
63.7696	64.1922	63.5393	61.3365	84.7549	72.8152	52.925	90.7262	53.7493	41.6053	121.594	41.331
519.434	338.906	457.045	504.296	745.541	648.998	763.112	439.205	378.895	410.685	654.189	479.205
72.423	74.7395	78.3806	64.0451	10.9446	49.1616	81.8568	48.4152	47.369	26.4246	4.78871	26.0024
103.653	83.2709	119.018	145.911	114.02	103.455	185.714	157.99	111.737	71.1299	76.3187	65.9082
35.1323	42.6667	37.4261	32.0695	40.1854	29.016	57.6283	21.531	28.1372	30.296	33.2415	25.3516
239.985	195.038	161.538	191.283	494.014	348.291	247.298	196.506	218.333	219.629	596.14	189.308
136.169	108.972	98.6837	99.0067	62.9308	114.697	69.0956	124.375	118.252	114.748	62.269	110.038
40.4532	42.0334	36.4685	38.7004	20.8377	39.3647	33.2176	58.1998	42.0689	35.4162	16.4078	41.5597
551.202	838.974	819.329	940.99	353.777	523.451	617.972	681.547	526.925	401.273	366.693	487.682
189.863	409.863	330.347	267.994	157.329	404.013	226.944	164.728	413.156	128.483	291.169	408.992
675.747	765.354	789.699	707.941	585.424	800.136	605.232	450.512	799.843	427.221	994.415	818.548
513.891	773.485	682.013	524.024	407.128	792.743	557.373	737.952	702.23	422.242	419.752	607.674
1848.34	2012.69	1786.01	1600.4	2362.16	2238.2	2665.7	2229.69	1652.47	1338.71	1405.11	1595.78
