ID	Gene	AVG_Medium	AVG_Reference_Standard	AVG_GA	AVG_generic
ILMN_2685712	IFNG	7.151943333	11.25528947	11.16330882	10.66788182
ILMN_1247309	IL3	5.823283333	9.406355263	9.384125	9.421563636
ILMN_2791459	IFNG	6.636043333	9.829173684	9.710919118	9.303940909
ILMN_1215862	CXCL9	7.341613333	9.816544737	9.756617647	9.524722727
ILMN_2595732	LOC100046232	9.24871	11.50916579	11.54660147	11.76695
ILMN_2931334	IL4	6.171636667	8.367486842	8.425076471	8.496068182
ILMN_2718330	CISH	9.18378	11.37349211	11.34956176	11.42528636
ILMN_2445789	TNFRSF9	6.794626667	8.943107895	8.962886765	8.867340909
ILMN_1235499	PROS1	6.8909	8.894226316	8.934763235	8.691490909
ILMN_1236588	CAR1	7.761993333	9.729336842	9.793017647	9.715413636
ILMN_2588216	IL8RA	8.623573333	6.726942105	6.682098529	6.572263636
ILMN_2680827	IL7R	10.26270333	8.408492105	8.445019118	8.336627273
ILMN_3103746	TNFRSF9	6.92238	8.764752632	8.744404412	8.737481818
ILMN_2606162	PDLIM4	7.95422	9.731202632	9.727291176	9.501227273
ILMN_1213954	SGK1	11.41363	9.661723684	9.666986765	9.421709091
ILMN_1216042	APOE	9.313533333	7.564486842	7.5268	7.541936364
ILMN_2507761	7530404M11RIK	5.58119	7.321434211	7.426433824	7.179863636
ILMN_3142803	CXCL10	6.9917	8.700381579	8.707408824	8.518177273
ILMN_1249030	MPO	9.78357	8.174247368	8.410351471	8.711063636
ILMN_1214841	IL24	6.20973	7.810955263	7.762489706	7.504672727
ILMN_2744890	GADD45G	8.972466667	10.57273421	10.65257941	10.53536818
ILMN_2742861	SERPINA3F	8.155613333	9.724289474	9.630060294	9.550477273
ILMN_1217389	PKIB	9.656156667	11.20944737	11.18970735	11.08776818
ILMN_2749412	CSF2	6.444243333	7.991860526	7.939511765	7.916009091
ILMN_2426853	UBD	6.649816667	8.167139474	8.137648529	7.952622727
ILMN_2725927	SERPINA3G	12.45885667	13.95378947	13.90402647	13.98564545
ILMN_3094853	PKIB	7.606836667	9.100334211	9.029398529	9.009122727
ILMN_1220788	GM590	6.52345	8.002165789	8.021569118	7.660568182
ILMN_2780247	LTA	7.175613333	8.633663158	8.581783824	8.382890909
ILMN_2600421	MPO	8.83189	7.385586842	7.594448529	7.965109091
ILMN_2947526	ECM1	8.577696667	10.02243947	10.05155441	9.810595455
ILMN_2772264	IGH-­‐VJ558	11.98722333	10.55665789	10.57623824	10.44005909
ILMN_1229804	LTA	6.55449	7.963042105	8.009302941	7.831009091
ILMN_2506039	A130090K04RIK9.575673333	8.169478947	8.136902941	7.924245455
ILMN_2762983	TBX21	7.060853333	8.465081579	8.480467647	8.371186364
ILMN_2756046	FFAR2	7.936103333	9.323384211	9.336789706	9.122636364
ILMN_2903945	GADD45G	11.30813	12.65795526	12.67639853	12.61029091
ILMN_2878071	LYZ	11.69561333	10.38226579	10.50047647	10.79755909
ILMN_2460094	WNT10A	8.443006667	7.148705263	7.098610294	7.211363636
ILMN_1252076	LYZ2	9.709593333	8.418768421	8.645485294	8.893840909
ILMN_1224336	SPSB1	7.674476667	8.962918421	8.950477941	8.84225
ILMN_2446559	TNFRSF4	9.380393333	10.65664474	10.65343824	10.55523636
ILMN_2717176	RGL1	8.882566667	7.607873684	7.561447059	7.5231
ILMN_2741201	IL17F	7.970356667	9.233218421	9.281625	9.150545455
ILMN_3090207	CYP4F18	9.138546667	7.882936842	7.951694118	7.8979
ILMN_2546272	GNG12	8.461113333	9.715955263	9.731457353	9.698468182
ILMN_2548681	4930426D05RIK8.374753333	7.133186842	7.100458824	7.092509091
ILMN_2664224	EPHX1	11.05266667	9.821181579	9.83665	9.763663636
ILMN_1235926	A630072M18RI7K.662946667	8.890823684	8.780570588	8.808022727
ILMN_1227900	IL12RB1	6.848926667	8.074565789	8.071257353	8.030231818
ILMN_1259075	NME7	9.56043	8.337597368	8.301139706	8.096959091
ILMN_2770066	LOC10004443910.47755333	9.276686842	9.229413235	9.231372727
ILMN_1227434	ITGB7	11.00959333	9.814152632	9.885063235	9.683159091
ILMN_1233474	IL2RA	6.869136667	8.061205263	8.134330882	7.977345455
