Type	Probe	Gene
generic	ILMN_2927369	KRT82
generic	ILMN_1248780	SPRR2B
generic	ILMN_1255612	9430016C22RIK
generic	ILMN_2465182	XLR3B
generic	ILMN_1220648	A630014I05RIK
generic	ILMN_2441895	TYMS
generic	ILMN_1215680	SAMD3
generic	ILMN_2662283	2010007H12RIK
generic	ILMN_2730829	TMUB1
generic	ILMN_2534501	LOC380738
generic	ILMN_1229286	2410042D21RIK
generic	ILMN_2511527	9330133O14RIK
generic	ILMN_1228867	A130082M07RIK
generic	ILMN_3009928	4930524E20RIK
generic	ILMN_2870788	UPB1
generic	ILMN_2941062	SHROOM2
generic	ILMN_2444847	4930521G14RIK
generic	ILMN_2805419	OLFR885
generic	ILMN_2825562	CYBRD1
generic	ILMN_2456193	6446580_669
generic	ILMN_1225456	CHRNA7
generic	ILMN_2621217	5730508B09RIK
generic	ILMN_2495555	MAPK8IP2
generic	ILMN_2653725	LOC100046802
generic	ILMN_3161601	SNCA
generic	ILMN_2436890	DHRSX
generic	ILMN_1225663	LOC384162
generic	ILMN_1222683	OLFR1441
generic	ILMN_2691752	OTX2
generic	ILMN_2460292	8430427H17RIK
generic	ILMN_2706906	LOC100047937
generic	ILMN_2820893	SELPLG
generic	ILMN_1233075	ERCC2
generic	ILMN_2733594	D630004A14RIK
generic	ILMN_2768252	MYL7
generic	ILMN_1233191	5730422E09RIK
generic	ILMN_2935462	SCN2B
generic	ILMN_2541335	LOC384887
generic	ILMN_2626648	41522
generic	ILMN_2494532	NRG1
generic	ILMN_2682263	KLHL28
generic	ILMN_1378821	control_ILMN_1378821
generic	ILMN_1245775	FUT9
generic	ILMN_2752524	PAQR9
generic	ILMN_1234848	TRIM2
generic	ILMN_2564352	SDHA
generic	ILMN_1260478	HECW1
generic	ILMN_2620284	PHLDB1
generic	ILMN_2741169	CD8B1
generic	ILMN_2728928	FABP1
generic	ILMN_2690135	ACSL4
generic	ILMN_2530757	LOC210143
generic	ILMN_1223894	E530018B05RIK
generic	ILMN_2654541	MED19
generic	ILMN_2769762	CTNNA2
generic	ILMN_1378704	control_ILMN_1378704
generic	ILMN_1259595	AI595406
generic	ILMN_2635132	FOXP3
generic	ILMN_1250340	A630055A13RIK
generic	ILMN_2524263	ZFP251
generic	ILMN_2690574	FOXO3
generic	ILMN_1239070	MYO18B
generic	ILMN_2580818	D930042N17RIK
generic	ILMN_2697415	CD3D
generic	ILMN_1228620	ZFP583
generic	ILMN_2502290	TRIM71
generic	ILMN_2642321	CEACAM13
generic	ILMN_2661820	AGXT2L1
generic	ILMN_1244840	4833435K08RIK
generic	ILMN_1233941	UNCX
generic	ILMN_1233843	PTPN21
generic	ILMN_1224922	LRRN2
generic	ILMN_2737523	F2RL3
generic	ILMN_2637897	NLRX1
generic	ILMN_1254631	AI481316
generic	ILMN_2498330	LOC632997
generic	ILMN_2769330	CD6
generic	ILMN_2666330	OIT3
generic	ILMN_2527328	LOC381360
generic	ILMN_2883666	PIGN
generic	ILMN_1257579	NUP210
generic	ILMN_1235441	STK22S1
generic	ILMN_2769325	CD6
generic	ILMN_3006990	EG622339
generic	ILMN_1216552	CORO2B
generic	ILMN_2701383	ANKS3
generic	ILMN_1247936	OLFR571
generic	ILMN_2998230	GALNS
generic	ILMN_2610965	DAB2IP
generic	ILMN_1223081	LOC241962
generic	ILMN_2598271	ASB17
generic	ILMN_2979729	OLFR1287
generic	ILMN_1245710	CCL2
generic	ILMN_2705689	GGA2
generic	ILMN_1242912	POF1B
generic	ILMN_2445249	KRT36
generic	ILMN_1235485	LOC218501
generic	ILMN_2964420	LIPK
generic	ILMN_3104704	KLRA4
generic	ILMN_1246768	A830026B15RIK
generic	ILMN_2923717	KCNT1
generic	ILMN_2798167	BB287469
generic	ILMN_1246408	LOC100042427
generic	ILMN_2749437	RHOC
generic	ILMN_1243092	EG546980
GA	ILMN_1222230	MEPE
GA	ILMN_1237927	8430407G10RIK
GA	ILMN_1380391	control_ILMN_1380391
GA	ILMN_1222029	RTTN
GA	ILMN_1256073	PXDN
GA	ILMN_1221957	LOC637776
GA	ILMN_1257904	2810403A07RIK
GA	ILMN_1244123	SLC38A2
GA	ILMN_2529810	GPR113
GA	ILMN_1231281	LOC382900
GA	ILMN_2756771	GMFB
GA	ILMN_1260480	5033411B22RIK
GA	ILMN_1258114	A930014P08RIK
GA	ILMN_2524553	4930555L11RIK
GA	ILMN_2701797	MEN1
GA	ILMN_2499058	UBE2I
GA	ILMN_2759380	2310010M20RIK
GA	ILMN_1244585	RAP1GAP
GA	ILMN_2666205	DPP10
GA	ILMN_1240784	LOC384938
GA	ILMN_1252393	LOC635340
GA	ILMN_2700224	KTN1
GA	ILMN_1217225	CCDC91
