Probe	Gene	Fold_Change	t_test_p	t_test_adjp	snr_p	snr_adjp	limma_p	limma_adjp	anova_p	anova_adjp	signif_parametric	wilcoxon_p	wilcoxon_adjp
ILMN_2685712	IFNG	1.41	0.0002995	0.01489206	0.0002995	0.01335371	2.36E-07	0.0000718	4.01E-07	0.000139	1	2.06483E-05	0.00430994
ILMN_2595857	ANKRD37	1.36	0.0002995	0.01489206	0.0002995	0.01335371	5.82E-12	1.69E-08	1.23E-08	0.0000119	1	6.03547E-07	0.00057333
ILMN_2791459	IFNG	1.33	0.0002995	0.01489206	0.0002995	0.01335371	0.00000199	0.00037564	0.00000642	0.00108	1	0.000197175	0.01547711
ILMN_2675232	KLK8	1.284884601	0.0002995	0.01489206	0.0002995	0.01335371	7.43E-19	3.46E-14	5.6E-14	2.61E-09	1	7.95833E-09	0.00012222
ILMN_1220788	GM590	1.284311292	0.0002995	0.01489206	0.0002995	0.01335371	3.92E-10	0.00000057	4.06E-09	0.00000573	1	4.9657E-07	0.00052531
ILMN_1253828	CD247	1.280944226	0.0002995	0.01489206	0.0002995	0.01335371	7.18E-09	0.00000514	1.89E-07	0.0000836	1	1.53585E-05	0.00359242
ILMN_2856926	GPR114	1.275591039	0.0002995	0.01489206	0.0002995	0.01335371	3.75E-15	5.82E-11	5.66E-11	0.000000293	1	5.89499E-08	0.00024945
ILMN_1218037	TMIE	1.25825101	0.0002995	0.01489206	0.0002995	0.01335371	1.6E-10	2.67E-07	8.95E-09	0.0000105	1	1.80477E-06	0.001091
ILMN_2664929	CD8B1	1.257683544	0.0002995	0.01489206	0.0002995	0.01335371	6.15E-13	2.6E-09	8E-11	0.000000367	1	1.49655E-07	0.00034541
ILMN_1240428	SATB1	1.253362369	0.0002995	0.01489206	0.0002995	0.01335371	3.36E-10	5.04E-07	3.35E-08	0.0000244	1	2.88347E-07	0.00041943
ILMN_2741169	CD8B1	1.24933849	0.0002995	0.01489206	0.0002995	0.01335371	2.32E-15	5.4E-11	3.06E-12	4.75E-08	1	1.57497E-07	0.00034541
ILMN_1250001	4930583H14RIK	1.24042799	0.00094262	0.02607154	0.0006399	0.01941092	0.00000259	0.00046493	0.000033	0.003242217	1	0.000130304	0.01220373
ILMN_2611022	BCL11B	1.239019043	0.0002995	0.01489206	0.0002995	0.01335371	7.52E-10	9.15E-07	0.00000014	0.0000707	1	1.5356E-05	0.00359242
ILMN_2707941	GPR83	1.238234714	0.0002995	0.01489206	0.0002995	0.01335371	9.31E-14	8.67E-10	2.22E-12	4.75E-08	1	1.65715E-07	0.00034541
ILMN_2769772	PIK3IP1	1.235639618	0.0002995	0.01489206	0.0002995	0.01335371	8.08E-12	2.21E-08	2.26E-09	0.00000363	1	4.9657E-07	0.00052531
ILMN_2775055	LOC669166	1.234427524	0.0002995	0.01489206	0.0002995	0.01335371	3.92E-12	1.4E-08	2.69E-09	0.00000405	1	4.7283E-07	0.00052531
ILMN_3128992	CD27	1.229968408	0.0002995	0.01489206	0.0002995	0.01335371	5.34E-13	2.48E-09	8.67E-11	0.000000367	1	1.10038E-07	0.00029962
ILMN_2416460	TRBV8_AE000663_T_CELL_RE	1.2270758C2E1PTO0R.0B00ET2A995VAR0.I0A1B4L8E92806270	0.0002995	0.01335371	5.05E-12	1.57E-08	2.14E-09	0.00000357	1	2.49646E-06	0.00133566
ILMN_2670150	OAS2	1.223676484	0.0002995	0.01489206	0.0002995	0.01335371	1.69E-08	0.0000104	2.75E-07	0.000109783	1	1.80477E-06	0.001091
ILMN_2454209	TRBV6_AE000663_T1_.C2E2L3L3_2R3E4C6E4PTO0R.0B00ET2A995VAR0.I0A1B4L8E9260611	0.0002995	0.01335371	4.23E-09	0.00000323	0.00000012	0.0000626	1	0.000103509	0.01061242
ILMN_2960700	PRF1	1.220037267	0.0002995	0.01489206	0.0002995	0.01335371	0.00000023	0.0000712	0.00000418	0.000771264	1	3.99889E-05	0.00618393
ILMN_1229318	PDK1	1.219922378	0.0002995	0.01489206	0.0002995	0.01335371	1.26E-09	0.00000128	5.7E-08	0.0000353	1	1.98091E-06	0.00115257
ILMN_1233589	CD27	1.219317837	0.0002995	0.01489206	0.0002995	0.01335371	3.67E-13	1.9E-09	1.77E-11	0.000000121	1	2.95621E-08	0.00022934
ILMN_2678521	GPR146	1.215770831	0.0002995	0.01489206	0.0002995	0.01335371	1.33E-13	8.87E-10	3.83E-11	0.000000223	1	7.26855E-08	0.00026025
ILMN_1256701	2900016B01RIK	1.215770789	0.0002995	0.01489206	0.0002995	0.01335371	2.75E-08	0.0000147	4.48E-07	0.000148861	1	2.54447E-05	0.00475651
ILMN_1215167	DDX5	1.214758445	0.0006399	0.0211535	0.0006399	0.01941092	0.00010165	0.00670197	0.0000543	0.004539402	1	7.0054E-05	0.00846962
ILMN_3145331	TMSB10	1.209579271	0.0002995	0.01489206	0.0002995	0.01335371	4.98E-12	1.57E-08	1.59E-10	0.000000461	1	2.13433E-07	0.00036795
ILMN_1252200	A830055I09RIK	1.206497974	0.0002995	0.01489206	0.0002995	0.01335371	0.00000761	0.0010354	0.0000334	0.003276709	1	5.74504E-05	0.00761864
ILMN_2819380	BC030476	1.206275831	0.0002995	0.01489206	0.0002995	0.01335371	0.000036	0.00314503	0.00012566	0.008308344	1	0.000197175	0.01547711
ILMN_2932359	TPI1	1.204626968	0.0002995	0.01489206	0.0002995	0.01335371	5.08E-08	0.0000227	0.0000011	0.000288061	1	1.53585E-05	0.00359242
ILMN_2837493	EG634650	1.204245484	0.0002995	0.01489206	0.0002995	0.01335371	5.69E-08	0.0000248	5.02E-08	0.0000324	1	4.9657E-07	0.00052531
ILMN_1230137	TPI1	1.204175926	0.0002995	0.01489206	0.0002995	0.01335371	2.06E-08	0.0000124	0.00000121	0.000298774	1	2.88127E-05	0.00509941
ILMN_2944666	IFIT3	1.202746675	0.0002995	0.01489206	0.0002995	0.01335371	5.52E-08	0.0000242	2.84E-08	0.0000217	1	2.74304E-07	0.00041187
ILMN_1217855	NKG7	1.202473931	0.0006399	0.0211535	0.0006399	0.01941092	2.84E-08	0.0000149	5.31E-07	0.000169129	1	0.000264806	0.01861919
ILMN_2699898	ITGAE	1.201910561	0.0002995	0.01489206	0.0002995	0.01335371	1.42E-11	3.32E-08	1.38E-10	0.000000429	1	1.04521E-07	0.00029962
ILMN_2516221	TCRB-V8.2	1.20121668	0.0002995	0.01489206	0.0002995	0.01335371	1.11E-08	0.00000752	4.35E-07	0.000147963	1	1.13766E-05	0.00307877
ILMN_2652867	TRAT1	1.199470243	0.0002995	0.01489206	0.0002995	0.01335371	6.33E-10	8.19E-07	3.26E-08	0.0000241	1	4.12145E-06	0.00171287
ILMN_1229197	OTTMUSG0000001616.41498389483	0.0002995	0.01489206	0.0002995	0.01335371	4.13E-08	0.00002	1.88E-08	0.0000159	1	9.77116E-07	0.00079793
ILMN_2618148	C330008K14RIK	1.196159524	0.0002995	0.01489206	0.0002995	0.01335371	2.81E-11	5.95E-08	1.46E-08	0.000013	1	1.18196E-06	0.00088737
ILMN_1214841	IL24	1.195664917	0.00094262	0.02607154	0.00094262	0.02430167	0.0000373	0.00322909	0.00014082	0.009031912	1	0.002173782	0.0607706
